	sentence	named_entity	rank
0	We've noticed you're adblocking.	[]	6
1	 We rely on advertising to help fund our award-winning journalism.	[]	6
2	 We urge you to turn off your ad blocker for The Telegraph website so that you can continue to access our quality content in the future.	"[{""text"": ""Telegraph"", ""type"": ""ORG"", ""start"": 49, ""end"": 58, ""cms"": null}]"	6
3	 	[]	6
4	Thank you for your support.	[]	6
5	Despite the frequent reports of construction issues and delays, Brazil's Olympic infrastructure is now in place, ahead of the continent's inaugural Olympic Games.	"[{""text"": ""Brazil"", ""type"": ""GPE"", ""start"": 64, ""end"": 70, ""cms"": null}, {""text"": ""Olympic Games"", ""type"": ""EVENT"", ""start"": 148, ""end"": 161, ""cms"": null}]"	4
6	They've created multiple world class facilities, with notions of sustainability and an Olympic legacy clearly at the forefront of several projects, all bedecked in the vibrant colours of the national flag.	"[{""text"": ""Olympic"", ""type"": ""EVENT"", ""start"": 87, ""end"": 94, ""cms"": null}]"	4
7	Just in time, Rio - and its 37 facilities - is ready for the Games.	"[{""text"": ""Rio"", ""type"": ""GPE"", ""start"": 14, ""end"": 17, ""cms"": null}, {""text"": ""37"", ""type"": ""CARDINAL"", ""start"": 28, ""end"": 30, ""cms"": null}, {""text"": ""Games"", ""type"": ""EVENT"", ""start"": 61, ""end"": 66, ""cms"": null}]"	4
8	 The athletes are already arriving; the world awaits.	[]	4
9	A “very sad day for the whole continent”.	[]	2
10	This was the portentous verdict of Gideon Sam, kingpin of South Africa’s sporting mandarins, as Durban lost its tortuous fight to be ready to stage the 2022 Commonwealth Games.	"[{""text"": ""Gideon Sam"", ""type"": ""PERSON"", ""start"": 35, ""end"": 45, ""cms"": null}, {""text"": ""South Africa\u2019s"", ""type"": ""GPE"", ""start"": 58, ""end"": 72, ""cms"": null}, {""text"": ""Durban"", ""type"": ""GPE"", ""start"": 96, ""end"": 102, ""cms"": null}, {""text"": ""2022"", ""type"": ""DATE"", ""start"": 152, ""end"": 156, ""cms"": null}, {""text"": ""Commonwealth Games"", ""type"": ""EVENT"", ""start"": 157, ""end"": 175, ""cms"": null}]"	2
11	 	[]	2
12	Well, yes and no.	[]	2
13	Sad in the sense that Durban was handed the showpiece on a silver platter, after Edmonton pulled out, and still the politicians could not make it work.	"[{""text"": ""Durban"", ""type"": ""GPE"", ""start"": 22, ""end"": 28, ""cms"": null}, {""text"": ""Edmonton"", ""type"": ""GPE"", ""start"": 81, ""end"": 89, ""cms"": null}]"	2
14	But a grievous setback to all of Africa?	"[{""text"": ""Africa"", ""type"": ""LOC"", ""start"": 33, ""end"": 39, ""cms"": null}]"	2
15	To believe this is to entertain oceangoing delusions of grandeur.	[]	2
16	Few outside the old relics of the British Empire have even heard of this strange, sepia-tinted jamboree, where a 50-year-old Scotsman is hailed as the “Lionel Messi of bowls” and where Wales somehow win medals for sprinting.	"[{""text"": ""the British Empire"", ""type"": ""GPE"", ""start"": 30, ""end"": 48, ""cms"": null}, {""text"": ""50-year-old"", ""type"": ""DATE"", ""start"": 113, ""end"": 124, ""cms"": null}, {""text"": ""Scotsman"", ""type"": ""NORP"", ""start"": 125, ""end"": 133, ""cms"": null}, {""text"": ""the \u201cLionel Messi"", ""type"": ""PERSON"", ""start"": 147, ""end"": 164, ""cms"": null}, {""text"": ""Wales"", ""type"": ""GPE"", ""start"": 185, ""end"": 190, ""cms"": null}]"	2
17	 For while Clare Balding spent a large segment of her highlights show at the Glasgow Games looking fascinated by the backstories of athletes from St Helena, a question on the US quiz show Jeopardy asked: “A 50 pence piece marks the 20th celebration of which multi-country games, to be held in the UK in 2014?”	"[{""text"": ""Clare Balding"", ""type"": ""PERSON"", ""start"": 11, ""end"": 24, ""cms"": null}, {""text"": ""the Glasgow Games"", ""type"": ""EVENT"", ""start"": 73, ""end"": 90, ""cms"": null}, {""text"": ""St Helena"", ""type"": ""GPE"", ""start"": 146, ""end"": 155, ""cms"": null}, {""text"": ""US"", ""type"": ""GPE"", ""start"": 175, ""end"": 177, ""cms"": null}, {""text"": ""Jeopardy"", ""type"": ""WORK_OF_ART"", ""start"": 188, ""end"": 196, ""cms"": null}, {""text"": ""50 pence"", ""type"": ""MONEY"", ""start"": 207, ""end"": 215, ""cms"": null}, {""text"": ""20th"", ""type"": ""ORDINAL"", ""start"": 232, ""end"": 236, ""cms"": null}, {""text"": ""UK"", ""type"": ""GPE"", ""start"": 297, ""end"": 299, ""cms"": null}, {""text"": ""2014"", ""type"": ""DATE"", ""start"": 303, ""end"": 307, ""cms"": null}]"	2
18	None of the three contestants could answer, even with £1,500 on the line.	"[{""text"": ""three"", ""type"": ""CARDINAL"", ""start"": 12, ""end"": 17, ""cms"": null}, {""text"": ""1,500"", ""type"": ""MONEY"", ""start"": 55, ""end"": 60, ""cms"": null}]"	2
19	Rio 2016 was a “great frustration” for Brazilian people amid an ongoing corruption scandal and rising populism that threatens to worsen a lengthy political crisis, a presidential hopeful has said.	"[{""text"": ""Rio"", ""type"": ""GPE"", ""start"": 0, ""end"": 3, ""cms"": null}, {""text"": ""2016"", ""type"": ""DATE"", ""start"": 4, ""end"": 8, ""cms"": null}, {""text"": ""Brazilian"", ""type"": ""NORP"", ""start"": 39, ""end"": 48, ""cms"": null}]"	3
20	 Marina Silva, an environmental activist who is currently third favourite to win next year’s election, said the Olympic Games was an example of misplaced priorities in the face of more pressing fundamental needs.	"[{""text"": ""Marina Silva"", ""type"": ""PERSON"", ""start"": 1, ""end"": 13, ""cms"": null}, {""text"": ""third"", ""type"": ""ORDINAL"", ""start"": 58, ""end"": 63, ""cms"": null}, {""text"": ""next year\u2019s"", ""type"": ""DATE"", ""start"": 81, ""end"": 92, ""cms"": null}, {""text"": ""the Olympic Games"", ""type"": ""EVENT"", ""start"": 108, ""end"": 125, ""cms"": null}]"	3
21	 The event, which came two years after Brazil also hosted the World Cup, failed to deliver on promised improvements, she said, while the country became mired in political scandal.	"[{""text"": ""two years"", ""type"": ""DATE"", ""start"": 23, ""end"": 32, ""cms"": null}, {""text"": ""Brazil"", ""type"": ""GPE"", ""start"": 39, ""end"": 45, ""cms"": null}, {""text"": ""the World Cup"", ""type"": ""EVENT"", ""start"": 58, ""end"": 71, ""cms"": null}]"	3
22	 “Unfortunately, all the expectation created around what could have left a great legacy for Brazilian society - in terms of urban mobility, transport, environmental values, the greater possibilities for tourism - did not happen,” she told the Telegraph during a recent tour of Europe.	"[{""text"": ""Brazilian"", ""type"": ""NORP"", ""start"": 92, ""end"": 101, ""cms"": null}, {""text"": ""Telegraph"", ""type"": ""ORG"", ""start"": 243, ""end"": 252, ""cms"": null}, {""text"": ""Europe"", ""type"": ""LOC"", ""start"": 277, ""end"": 283, ""cms"": null}]"	3
23	 “Today, a good part of the facilities built for the Olympics have been abandoned, causing huge losses.	"[{""text"": ""Today"", ""type"": ""DATE"", ""start"": 2, ""end"": 7, ""cms"": null}, {""text"": ""Olympics"", ""type"": ""EVENT"", ""start"": 53, ""end"": 61, ""cms"": null}]"	3
24	 “Brazil is a country with many problems with health, education, security, sanitation.	"[{""text"": ""Brazil"", ""type"": ""GPE"", ""start"": 2, ""end"": 8, ""cms"": null}]"	3
25	People certainly would like to see those billions and billions being used to resolve their problems.	"[{""text"": ""those billions and billions"", ""type"": ""MONEY"", ""start"": 35, ""end"": 62, ""cms"": null}]"	3
26	This was a great frustration for Brazilian people.”	"[{""text"": ""Brazilian"", ""type"": ""NORP"", ""start"": 33, ""end"": 42, ""cms"": null}]"	3
